id,active_time,journey_no,flight_code
2311313,1.53029260193e+12,ZH4536,CSZ4536
2295479,1.53029400489e+12,3U8842,CSC8842
2308914,1.53029848105e+12,HU7347,CHH7347
2311162,1.5303753625e+12,CA4278,CCA4278
2313358,1.5303761917e+12,EU2260,UEA2260
2313011,1.53037712036e+12,,
2313594,1.53037736861e+12,CA4182,CCA4182
2313527,1.53037830497e+12,HX452,CRK452
2313040,1.53037841136e+12,CA4540,CCA4540
2313626,1.53037993141e+12,8L9620,LKE9620
2314048,1.53038054742e+12,3U8736,3U8736
2275872,1.53038078458e+12,MU5417,CES5417
